term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,-16659.397226928864,8340.658768221478,-1.9973718731189904,0.047189438751972686,-33109.942712472715,-208.85174138501316
C(REF_AREA)[T.AFG],-27860.714537428972,2417.738357565648,-11.523461358110367,1.0187605481820384e-23,-32629.296483835446,-23092.1325910225
C(REF_AREA)[T.AGO],-21279.890869070587,2881.044860803558,-7.386171301454628,4.429290900613901e-12,-26962.26690741408,-15597.514830727092
C(REF_AREA)[T.ALB],-30383.71784280354,756.8195485750583,-40.14658170499173,1.2444376546604035e-95,-31876.417011317488,-28891.018674289593
C(REF_AREA)[T.AND],2031.3799000817692,2497.6271193339903,0.8133239282825575,0.41703458046939856,-2894.769181700285,6957.528981863823
C(REF_AREA)[T.ARE],10652.805047760708,1094.3092150374794,9.734730276758071,1.796757670942675e-18,8494.464319830113,12811.145775691304
C(REF_AREA)[T.ARG],-20752.493657719293,1386.391191203395,-14.968714306173583,3.9673116651783675e-34,-23486.91691917014,-18018.070396268446
C(REF_AREA)[T.ARM],-24272.607225099087,1094.9191241236526,-22.16840193062324,5.9730595179366826e-55,-26432.150896039697,-22113.063554158478
C(REF_AREA)[T.ATG],-17111.822054910885,965.5349617507719,-17.722633289096642,2.380598543204374e-42,-19016.177244057515,-15207.466865764254
C(REF_AREA)[T.AUS],6336.762201501667,1299.845364856815,4.875012345949086,2.266107404976561e-06,3773.0360147618603,8900.488388241472
C(REF_AREA)[T.AUT],1650.900799416443,879.3566270420732,1.8773962106473725,0.06197242763746377,-83.48213041712984,3385.283729250016
C(REF_AREA)[T.AZE],-19981.38194909281,995.1337517036272,-20.07909179533457,3.763128905916479e-49,-21944.115769228603,-18018.64812895702
C(REF_AREA)[T.BDI],-26215.842017274055,2072.428265555879,-12.649818791311596,4.184666896592077e-27,-30303.357931238665,-22128.326103309446
C(REF_AREA)[T.BEL],703.7319917059374,1405.0294913059201,0.5008663491126054,0.6170359166839265,-2067.4521794200555,3474.91616283193
C(REF_AREA)[T.BEN],-26777.637446613364,1761.5535455619897,-15.20114873264921,7.882664911697655e-35,-30252.005303130747,-23303.26959009598
C(REF_AREA)[T.BFA],-24688.534395133473,2152.1393633299367,-11.471624382602105,1.4548713666924404e-23,-28933.26703215009,-20443.801758116857
C(REF_AREA)[T.BGD],-26935.119556935395,976.0004439828102,-27.59744600834402,6.452967181209983e-69,-28860.116148190726,-25010.122965680064
C(REF_AREA)[T.BGR],-21759.483316696744,1161.6298653391118,-18.731855960284346,2.7076911237628688e-45,-24050.602695652233,-19468.363937741255
C(REF_AREA)[T.BHR],-7907.400053202869,1019.2625924619002,-7.757961600556282,4.875893778781675e-13,-9917.723950266367,-5897.07615613937
C(REF_AREA)[T.BHS],3041.3581438990764,1062.7588763114713,2.8617574613488537,0.00467778086006817,945.2451484197859,5137.471139378367
C(REF_AREA)[T.BIH],-24653.928598681377,1244.1947962059621,-19.815167748539757,2.1095071365551184e-48,-27107.893406095212,-22199.963791267543
C(REF_AREA)[T.BLR],-22756.22992720954,1827.9947165327098,-12.448739441858416,1.6938542177543363e-26,-26361.64180980925,-19150.81804460983
C(REF_AREA)[T.BLZ],-24742.258295052317,991.9478485394435,-24.94310394592128,2.7416116255933565e-62,-26698.70845746138,-22785.808132643255
C(REF_AREA)[T.BMU],75467.2149071663,1784.3442934250256,42.2940881898459,1.4819344445730078e-99,71947.89613672365,78986.53367760895
C(REF_AREA)[T.BRA],-20503.22223576037,1067.0552246431464,-19.214771421617126,1.0965154958415077e-46,-22607.809055144466,-18398.635416376277
C(REF_AREA)[T.BRB],-14950.271054244311,441.81780352492,-33.83809102975875,4.413678140043624e-83,-15821.6823030658,-14078.859805422822
C(REF_AREA)[T.BRN],6294.200418623375,920.2045009699006,6.840001773507143,1.0187107895645039e-10,4479.251933153149,8109.148904093601
C(REF_AREA)[T.BTN],-23520.78127080027,954.4994485278912,-24.64200613952788,1.63664466893502e-61,-25403.37076765878,-21638.191773941762
C(REF_AREA)[T.BWA],-17683.62356369781,2204.971923142482,-8.019886048478776,9.977830135776638e-14,-22032.559531945935,-13334.687595449683
C(REF_AREA)[T.CAF],-22640.43156042237,2166.1593461121925,-10.45187723657415,1.505942928815497e-20,-26912.8162535745,-18368.04686727024
C(REF_AREA)[T.CAN],-387.2590476334566,1392.3921203370492,-0.27812499221822284,0.7812141421354972,-3133.5181316987982,2359.000036431885
C(REF_AREA)[T.CHE],36802.80858031656,1475.68711115756,24.939438924453075,2.801697094311493e-62,33892.26414742104,39713.35301321208
C(REF_AREA)[T.CHL],-23173.253357101836,1098.4314706620107,-21.096676466430456,5.276684385966473e-52,-25339.72454037641,-21006.78217382726
C(REF_AREA)[T.CHN],-25276.69055732173,331.4421220676398,-76.2627586368257,4.649681776375862e-146,-25930.404353367787,-24622.976761275673
C(REF_AREA)[T.CIV],-22687.705622917587,2093.7805582388646,-10.835760955771233,1.1222911253865815e-21,-26817.335340091653,-18558.07590574352
C(REF_AREA)[T.CMR],-24540.25583137847,2059.3990226013807,-11.916221947303752,6.790742250328244e-25,-28602.073756752317,-20478.43790600462
C(REF_AREA)[T.COD],-24575.0956028601,1971.2013585606037,-12.467065069803496,1.491329256392377e-26,-28462.958481715374,-20687.232724004825
C(REF_AREA)[T.COG],-20534.92541374476,2411.671251455,-8.514811212911258,4.660722316756378e-15,-25291.5410145888,-15778.309812900718
C(REF_AREA)[T.COL],-25514.55127854016,1029.4952715780128,-24.783553633453213,7.056036733389501e-62,-27545.05741275259,-23484.045144327727
C(REF_AREA)[T.COM],-24882.504288252392,2067.828830755022,-12.033154736104098,3.0244544419805365e-25,-28960.948591268527,-20804.059985236257
C(REF_AREA)[T.CPV],-28796.201960903498,1613.584218592056,-17.846110310889024,1.0331118639902975e-42,-31978.725226792307,-25613.67869501469
C(REF_AREA)[T.CRI],-26783.740138330886,1011.7091780342937,-26.4737542367368,3.7118964889520974e-66,-28779.166196858423,-24788.31407980335
C(REF_AREA)[T.CUB],-26502.535051433668,832.3127073727121,-31.84204063769719,9.342745895526973e-79,-28144.1317683499,-24860.938334517436
C(REF_AREA)[T.CUW],-9290.906895724673,1600.6495066212676,-5.8044605376078815,2.6142321586667615e-08,-12447.918619476237,-6133.8951719731085
C(REF_AREA)[T.CYM],54940.91235744907,1284.0782075980035,42.78626646909734,1.9680720847037546e-100,52408.28423440803,57473.54048049012
C(REF_AREA)[T.CYP],-10137.59476034541,859.6389388518279,-11.792851977931145,1.5922305722076054e-24,-11833.087869187952,-8442.101651502868
C(REF_AREA)[T.CZE],-15724.386254093455,765.5656004136085,-20.53956740689252,1.8959112408804248e-50,-17234.335537686704,-14214.436970500208
C(REF_AREA)[T.DEU],1286.0956936659854,1038.7345252578532,1.2381370430974439,0.2171692106975477,-762.6333132398831,3334.824700571854
C(REF_AREA)[T.DMA],-21961.212448762908,1315.935273679534,-16.68867222272747,2.7267339065735115e-39,-24556.673272334385,-19365.75162519143
C(REF_AREA)[T.DNK],12921.345551983799,1138.8943655350747,11.345517146283449,3.4576781214995344e-23,10675.068119456799,15167.6229845108
C(REF_AREA)[T.DOM],-26842.671798007086,958.5389980949324,-28.003734695569083,6.73463589570343e-70,-28733.228626432607,-24952.114969581566
C(REF_AREA)[T.DZA],-25521.17971906075,1363.2434699544028,-18.720925705159896,2.912352099240575e-45,-28209.947996669784,-22832.411441451717
C(REF_AREA)[T.ECU],-27699.386692225034,800.0001640782557,-34.62422626392798,9.787138039247372e-85,-29277.252356476176,-26121.521027973893
C(REF_AREA)[T.EGY],-23211.96680572753,1521.557957872607,-15.255394436753333,5.407883007304702e-35,-26212.983762594584,-20210.949848860477
C(REF_AREA)[T.ERI],-26014.955983579224,1790.305696202202,-14.531013356414539,8.364627591954893e-33,-29546.032617551467,-22483.87934960698
C(REF_AREA)[T.ESP],-14381.93917279713,1412.7084901695505,-10.180401174676199,9.309539684364688e-20,-17168.26887662024,-11595.60946897402
C(REF_AREA)[T.EST],-17336.019924119948,1031.1716762697429,-16.811962860377324,1.1717788962564768e-39,-19369.83248440733,-15302.207363832567
C(REF_AREA)[T.ETH],-26163.39425018541,1905.0939459329313,-13.733387954982506,2.186747426021773e-30,-29920.87138511041,-22405.91711526041
C(REF_AREA)[T.FIN],1148.2505033527452,1211.7434526945908,0.9476019868721763,0.3445170742549697,-1241.7094913315739,3538.210498037064
C(REF_AREA)[T.FJI],-16847.569652287577,1799.9576740007803,-9.359981012687008,2.0942969669212198e-17,-20397.683187806007,-13297.456116769146
C(REF_AREA)[T.FRA],-5481.447184671489,1483.351824596214,-3.695311586759671,0.00028599655832003826,-8407.108974667944,-2555.7853946750324
C(REF_AREA)[T.FSM],-27046.91701732388,1177.6675150606811,-22.966513613929692,4.1916187586396214e-57,-29369.667960830495,-24724.16607381727
C(REF_AREA)[T.GAB],-16596.648780107003,2207.942634429223,-7.516793471582842,2.0530782742498088e-12,-20951.443976325605,-12241.853583888402
C(REF_AREA)[T.GBR],2942.569615975822,1064.5559693400164,2.7641286139235137,0.006260582624590025,842.9121569919853,5042.227074959659
C(REF_AREA)[T.GEO],-24248.00788608113,1289.7374489760607,-18.80073181199161,1.7112714244793114e-45,-26791.797910153073,-21704.217862009187
C(REF_AREA)[T.GHA],-25183.32984258947,1622.5776526430238,-15.520569879394207,8.589006448126047e-36,-28383.59114333116,-21983.068541847784
C(REF_AREA)[T.GIN],-26516.25738064917,1883.0693001567058,-14.081402834427035,1.9259628617753481e-31,-30230.2946090616,-22802.220152236743
C(REF_AREA)[T.GMB],-27035.192455702316,2357.0597802795937,-11.469879840084246,1.4724162258531797e-23,-31684.096122085448,-22386.288789319184
C(REF_AREA)[T.GNB],-25192.219657314177,2190.0014492009504,-11.503289035039623,1.1703297124333759e-23,-29511.628885605787,-20872.810429022567
C(REF_AREA)[T.GNQ],-19206.30710884796,2061.3320239628133,-9.31742527917688,2.762080907855413e-17,-23271.93755403631,-15140.676663659606
C(REF_AREA)[T.GRC],-17968.595690535854,1150.9267175447098,-15.612284793308598,4.5491830176977324e-36,-20238.604912065748,-15698.586469005959
C(REF_AREA)[T.GRD],-25547.637230661803,814.351672207964,-31.371750194107303,1.0393243581909308e-77,-27153.80882899257,-23941.465632331037
C(REF_AREA)[T.GTM],-29179.399522804084,1279.2299165134204,-22.810129083232678,1.1007264118961587e-56,-31702.46520776554,-26656.333837842627
C(REF_AREA)[T.GUY],-20926.736865683757,1289.4969417217517,-16.22860527124797,6.438088318527555e-38,-23470.052529679768,-18383.421201687746
C(REF_AREA)[T.HKG],-4268.1435922571945,1890.728957099129,-2.257406370295211,0.02510273911383309,-7997.288204682873,-538.9989798315169
C(REF_AREA)[T.HND],-25971.973143053558,1481.6993602471148,-17.52850398661305,8.869802576367003e-42,-28894.375725271166,-23049.57056083595
C(REF_AREA)[T.HRV],-20382.82513533354,743.1321213990993,-27.428265510793253,1.663390359173764e-68,-21848.528157668232,-18917.122112998848
C(REF_AREA)[T.HTI],-19984.012753319425,1698.1184491647243,-11.768326740192489,1.885863740775339e-24,-23333.265559855496,-16634.759946783353
C(REF_AREA)[T.HUN],-17603.635929849803,947.0596463070092,-18.587673963824678,7.087043236945126e-45,-19471.55166912643,-15735.720190573173
C(REF_AREA)[T.IDN],-22317.63202432434,1125.5204351470013,-19.828722187002754,1.9304057025395473e-48,-24537.53163031709,-20097.732418331587
C(REF_AREA)[T.IND],-25019.980294526697,1033.9528602648063,-24.1983762084848,2.3240527357567174e-60,-27059.278272103747,-22980.682316949646
C(REF_AREA)[T.IRL],3351.9588609590073,642.139784430323,5.219983159792399,4.60318102939969e-07,2085.446223840192,4618.471498077823
C(REF_AREA)[T.IRN],-23570.9797889077,973.2774713919246,-24.218149994983307,2.063744602421734e-60,-25490.60577506971,-21651.353802745693
C(REF_AREA)[T.IRQ],-23327.266778152192,2203.744039154175,-10.585288655893764,6.1239156704651224e-21,-27673.780951915982,-18980.752604388403
C(REF_AREA)[T.ISL],8702.646739660951,1662.669388630313,5.2341414349548385,4.3047294611537246e-07,5423.311238094002,11981.9822412279
C(REF_AREA)[T.ISR],-6897.948906718733,1859.311857097309,-3.7099472476271753,0.000271001873479165,-10565.128577649266,-3230.7692357882015
C(REF_AREA)[T.ITA],-6773.92573858939,1201.30781738293,-5.63879268957602,6.017050862175958e-08,-9143.303199191496,-4404.548277987284
C(REF_AREA)[T.JAM],-22526.188174561026,924.8155909188192,-24.35749180242614,8.947842497747771e-61,-24350.231258797434,-20702.14509032462
C(REF_AREA)[T.JOR],-24670.50205575811,2043.0368944763745,-12.07540701905978,2.2574028825919377e-25,-28700.048437547623,-20640.955673968594
C(REF_AREA)[T.JPN],-8430.669109895804,1618.7370101894237,-5.208177150968613,4.867342309467003e-07,-11623.355389870861,-5237.982829920746
C(REF_AREA)[T.KAZ],-16988.317237852432,1680.1925334876212,-10.110934847799449,1.4805768841982492e-19,-20302.21419308096,-13674.420282623905
C(REF_AREA)[T.KEN],-27122.934784741345,1729.6216264804073,-15.681426717549538,2.8183069607271327e-36,-30534.322305785263,-23711.547263697426
C(REF_AREA)[T.KGZ],-25787.658338123565,1408.0950751382873,-18.313861608805777,4.431924310191857e-44,-28564.888857346934,-23010.427818900196
C(REF_AREA)[T.KHM],-28098.749160211504,899.1831293940907,-31.249195232505844,1.954989918803866e-77,-29872.236528654146,-26325.261791768862
C(REF_AREA)[T.KNA],-14526.936123621626,1188.513637106105,-12.222776138263804,8.13004621752976e-26,-16871.079217197945,-12182.793030045308
C(REF_AREA)[T.KOR],-15387.549952773215,1196.554908732905,-12.85987783800737,9.693734575334542e-28,-17747.553101092726,-13027.546804453705
C(REF_AREA)[T.KWT],-590.5207508803783,1309.6402053270147,-0.45090304075761506,0.6525656066947731,-3173.5656117388985,1992.524109978142
C(REF_AREA)[T.LAO],-24638.90491569435,1412.0104739079081,-17.449519936989724,1.5161896804113903e-41,-27423.857899934403,-21853.9519314543
C(REF_AREA)[T.LBN],-24413.687982223673,1247.2782364677357,-19.573570089190923,1.0292352438351822e-47,-26873.73435653622,-21953.641607911126
C(REF_AREA)[T.LBR],-25200.005399718568,1973.603764018884,-12.76852317529196,1.831556459343525e-27,-29092.606618957307,-21307.40418047983
C(REF_AREA)[T.LBY],-16436.424815371134,2022.7689042505629,-8.125705700157992,5.21908991767896e-14,-20425.995998033617,-12446.85363270865
C(REF_AREA)[T.LCA],-19401.413362438037,1001.7096388261122,-19.368300563798357,3.9773107523485684e-47,-21377.117013041945,-17425.70971183413
C(REF_AREA)[T.LIE],126211.89398119059,2074.5302460526896,60.8387822840087,7.059028280751005e-128,122120.23226451022,130303.55569787095
C(REF_AREA)[T.LKA],-28270.70857643189,749.1864723689267,-37.735209616158635,5.047314117186211e-91,-29748.352786960742,-26793.06436590304
C(REF_AREA)[T.LSO],-21595.85953374053,2005.9460010846155,-10.765922672925216,1.8029687522518006e-21,-25552.25037161002,-17639.468695871044
C(REF_AREA)[T.LTU],-20104.980687005376,1182.6771376679687,-16.99955131173742,3.2491560992814656e-40,-22437.61226786411,-17772.34910614664
C(REF_AREA)[T.LUX],51629.04467097323,1377.0065807540645,37.49368041705405,1.5031504840397059e-90,48913.13097397657,54344.958367969884
C(REF_AREA)[T.LVA],-18798.389229555385,1445.7651223713888,-13.002381188115594,3.59084218955742e-28,-21649.91757616522,-15946.860882945552
C(REF_AREA)[T.MAC],15178.636623310458,1899.3685931245877,7.991411818777413,1.1870554416085598e-13,11432.451783084445,18924.82146353647
C(REF_AREA)[T.MAR],-23236.336825902836,1257.258640224062,-18.481747575631516,1.4389882193333846e-44,-25716.067866681187,-20756.605785124484
C(REF_AREA)[T.MCO],124996.40536337504,3904.5267640124475,32.013202346428216,3.911052933588495e-79,117295.38354773175,132697.42717901833
C(REF_AREA)[T.MDA],-21856.738953091608,1733.9336839687242,-12.605291168382337,5.704241842834176e-27,-25276.631281707574,-18436.846624475642
C(REF_AREA)[T.MDG],-27298.84219462761,1645.9978124722634,-16.584980847347037,5.5529891513614047e-39,-30545.295818452643,-24052.388570802577
C(REF_AREA)[T.MDV],-24121.5252472149,881.7185251713747,-27.35739871465957,2.475721752478513e-68,-25860.56662354389,-22382.48387088591
C(REF_AREA)[T.MEX],-23120.21261061812,1237.9171095103616,-18.67670495301818,3.911338019368272e-45,-25561.79573771152,-20678.62948352472
C(REF_AREA)[T.MHL],-19768.55841863226,2294.875988076087,-8.614216420123538,2.4946726366052068e-15,-24294.815021931485,-15242.301815333032
C(REF_AREA)[T.MKD],-21855.241066456394,1524.2732165878695,-14.33813887734641,3.210692264586588e-32,-24861.613414095533,-18848.868718817255
C(REF_AREA)[T.MLI],-24112.480906204182,2321.3860893683855,-10.387104935553753,2.3284809800341796e-20,-28691.02422201069,-19533.937590397676
C(REF_AREA)[T.MLT],-15086.80100798124,1325.8965459228925,-11.378565736801166,2.7563246084880686e-23,-17701.908764329488,-12471.693251632989
