term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
C(REF_AREA)[T.MMR],-22700.923652803904,1335.6077273296034,-16.996699845539105,3.313058762716896e-40,-25335.18507984998,-20066.662225757827
C(REF_AREA)[T.MNE],-23677.49069934659,1217.3432160932662,-19.450135661274796,2.318966610147512e-47,-26078.49528475906,-21276.486113934116
C(REF_AREA)[T.MNG],-21395.722925319234,1915.1783021350507,-11.171661093626202,1.1371558326958437e-22,-25173.089755411653,-17618.356095226816
C(REF_AREA)[T.MOZ],-23078.601071274315,2239.843921797404,-10.303664843197854,4.077761383102329e-20,-27496.316187067758,-18660.885955480873
C(REF_AREA)[T.MRT],-24221.631012984697,2139.3981653040278,-11.321703180736618,4.070945661046604e-23,-28441.23378154726,-20002.028244422134
C(REF_AREA)[T.MUS],-20176.7917814361,561.2017062576639,-35.95283399258297,1.8032527321691864e-87,-21283.667683197167,-19069.91587967503
C(REF_AREA)[T.MWI],-25842.053280579385,2024.0814925992865,-12.767298834096604,1.8472375741685558e-27,-29834.213322819334,-21849.893238339435
C(REF_AREA)[T.MYS],-21441.634881033264,727.3836483706881,-29.47775211755408,2.1846260227397196e-73,-22876.27669116865,-20006.99307089788
C(REF_AREA)[T.NAM],-20077.905002705604,2264.3281460354838,-8.867047401172465,5.020775609063647e-16,-24543.911129521028,-15611.89887589018
C(REF_AREA)[T.NER],-26396.96264680808,2235.4186107297933,-11.808509833507339,1.429111269220037e-24,-30805.949581407633,-21987.975712208525
C(REF_AREA)[T.NGA],-21904.234855855655,2059.030042241198,-10.638132716127588,4.2844934406742066e-21,-25965.32502957737,-17843.14468213394
C(REF_AREA)[T.NIC],-26264.52271115171,1335.1484129108355,-19.671612876272594,5.405493694674492e-48,-28897.878217820504,-23631.167204482914
C(REF_AREA)[T.NLD],2828.5146594834896,1063.411858141924,2.6598487103817803,0.008474813744335558,731.1137672562795,4925.915551710699
C(REF_AREA)[T.NOR],26175.82257216989,1201.0553103972338,21.794019264202387,6.286292519171587e-54,23806.943139094034,28544.70200524575
C(REF_AREA)[T.NPL],-25086.576800288574,1495.1230083278865,-16.77893836196452,1.4690773052619845e-39,-28035.455268820588,-22137.69833175656
C(REF_AREA)[T.NZL],-3628.8618647565377,1187.7194173015077,-3.055319136737945,0.0025662459476270202,-5971.438493454707,-1286.2852360583684
C(REF_AREA)[T.OMN],-10214.360275297826,1168.2665617372763,-8.743176095110103,1.1038591331516128e-15,-12518.569420782034,-7910.1511298136165
C(REF_AREA)[T.PAK],-26456.70580822095,1368.0209505515788,-19.33940105051297,4.812895614522951e-47,-29154.89686214228,-23758.514754299624
C(REF_AREA)[T.PAN],-26260.54135618387,941.3907890053239,-27.895473020222376,1.227411702007303e-69,-28117.276228638835,-24403.806483728902
C(REF_AREA)[T.PER],-25140.15969749322,1214.8368389351933,-20.694268474380983,6.986699845265544e-51,-27536.22087584534,-22744.098519141102
C(REF_AREA)[T.PHL],-25802.659154848352,1112.7507207534925,-23.188175638633815,1.0723784221061158e-57,-27997.37264865196,-23607.945661044745
C(REF_AREA)[T.PLW],-10518.882428119567,1890.8187887804133,-5.563136187632392,8.758052375188604e-08,-14248.20421841573,-6789.560637823402
C(REF_AREA)[T.PNG],-21644.366700989973,1445.0330791853214,-14.978457595719956,3.70730009853661e-34,-24494.451215635876,-18794.28218634407
C(REF_AREA)[T.POL],-21827.929263036473,782.3418454402344,-27.90075641518779,1.1919403122111408e-69,-23370.966866096598,-20284.891659976347
C(REF_AREA)[T.PRI],-10624.09067054303,1591.2883499945544,-6.6764082515776515,2.5374777049895345e-10,-13762.63908855767,-7485.542252528391
C(REF_AREA)[T.PRT],-17551.679015624002,642.1986790431114,-27.33060591431977,2.877842224421571e-68,-18818.307812453153,-16285.050218794851
C(REF_AREA)[T.PRY],-25505.759831553805,1059.755084075691,-24.06759846195945,5.104878950691189e-60,-27595.948352458967,-23415.571310648644
C(REF_AREA)[T.PSE],-28589.87011151,2506.4229433244977,-11.4066423576496,2.273249137755014e-23,-33533.36747556323,-23646.37274745677
C(REF_AREA)[T.PYF],-3708.434459509713,1327.978114876594,-2.792541848367983,0.005755996075092762,-6327.647760240696,-1089.2211587787306
C(REF_AREA)[T.QAT],32905.124003351135,1411.671521535513,23.30933471517464,5.103645075943248e-58,30120.839545611743,35689.40846109053
C(REF_AREA)[T.ROU],-21190.474675765276,785.2824911476847,-26.98452456872628,2.0267611335278034e-67,-22739.31220750149,-19641.63714402906
C(REF_AREA)[T.RUS],-17983.726647916505,1997.8125045416432,-9.001708922651128,2.1216124717314665e-16,-21924.075532919334,-14043.377762913673
C(REF_AREA)[T.RWA],-25661.20550311946,1938.7474477026446,-13.235971262542314,7.041842268887376e-29,-29485.05850558622,-21837.3525006527
C(REF_AREA)[T.SAU],-8673.38866538369,1398.6306437318697,-6.201343223998786,3.3324387939474634e-09,-11431.952186750812,-5914.8251440165695
C(REF_AREA)[T.SDN],-26401.87983597931,2026.0549170159484,-13.03117680288006,2.9377276446939136e-28,-30397.932125706026,-22405.827546252596
C(REF_AREA)[T.SEN],-25236.32830014599,1985.15783649681,-12.712504686619935,2.7051725318869397e-27,-29151.71798251735,-21320.938617774627
C(REF_AREA)[T.SGP],19999.32587472564,1851.1687001840617,10.803621448837758,1.396016592183955e-21,16348.20721011606,23650.44453933522
C(REF_AREA)[T.SLE],-21799.472720644757,2029.8571288465257,-10.739412351169953,2.158039702920874e-21,-25803.024233202996,-17795.921208086518
C(REF_AREA)[T.SLV],-28166.23787481719,1060.2931492375392,-26.564575933619526,2.2081839802722808e-66,-30257.487638684703,-26074.98811094968
C(REF_AREA)[T.SMR],8078.188574438414,1805.9275234489317,4.473152144561603,1.3143528858823982e-05,4516.300515753679,11640.07663312315
C(REF_AREA)[T.SRB],-23672.973526274345,1230.266372665601,-19.242152798976733,9.149215044791065e-47,-26099.466862745667,-21246.480189803024
C(REF_AREA)[T.STP],-23708.93959090175,2593.6984054496793,-9.140977818040199,8.659367791349865e-17,-28824.57311342395,-18593.306068379552
C(REF_AREA)[T.SUR],-14006.027097323493,1827.2729242409591,-7.664989127522662,8.509866117168851e-13,-17610.01536612284,-10402.038828524146
C(REF_AREA)[T.SVK],-16515.16189445069,597.5634436634608,-27.63750371542439,5.159527871135744e-69,-17693.755202684082,-15336.568586217301
C(REF_AREA)[T.SVN],-17318.51441921894,917.5271836569055,-18.875205800654424,1.0425265177720998e-45,-19128.182346946596,-15508.846491491284
C(REF_AREA)[T.SWE],4324.809426005137,1385.8673160619896,3.1206518660778406,0.0020814807665789073,1591.4194200898446,7058.199431920429
C(REF_AREA)[T.SWZ],-21890.162611700776,2471.887207506142,-8.855647840738454,5.399306157142285e-16,-26765.544050052646,-17014.781173348907
C(REF_AREA)[T.SXM],9265.404431436928,1765.3057104243162,5.248611827811884,4.019164118248501e-07,5783.636061308782,12747.172801565073
C(REF_AREA)[T.SYC],-12774.557291991458,664.4177973011463,-19.226693420738414,1.0133840040781534e-46,-14085.009559569122,-11464.105024413793
C(REF_AREA)[T.SYR],-28516.711302105643,1685.4103688422954,-16.919743600304127,5.605587351261954e-40,-31840.899559283265,-25192.52304492802
C(REF_AREA)[T.TCA],-1931.266018106704,1406.7658918512507,-1.3728410884096933,0.17139479298700847,-4705.874947030116,843.3429108167084
C(REF_AREA)[T.TCD],-25893.43234887957,2370.294001323533,-10.924143728339653,6.153501451344136e-22,-30568.43828863211,-21218.42640912703
C(REF_AREA)[T.TGO],-23107.549436639758,1994.624699289437,-11.58491090823831,6.675273880294019e-24,-27041.610912367403,-19173.487960912113
C(REF_AREA)[T.THA],-31696.151512650336,1038.399924927532,-30.52403101325566,8.504404451221678e-76,-33744.22057672598,-29648.082448574693
C(REF_AREA)[T.TJK],-26246.43982765844,1583.4770337402429,-16.575194504503287,5.93878354152446e-39,-29369.581739195062,-23123.297916121817
C(REF_AREA)[T.TKM],-20337.132529752053,1265.4020593744774,-16.071676491347937,1.8993698394640662e-37,-22832.92509407003,-17841.339965434076
C(REF_AREA)[T.TLS],-27240.65767394281,1748.3121237979774,-15.581118098504101,5.6455361266433786e-36,-30688.909054882493,-23792.406293003125
C(REF_AREA)[T.TON],-25092.022437011474,1138.1284947464583,-22.046739496317805,1.2810054888843986e-54,-27336.78931832252,-22847.255555700427
C(REF_AREA)[T.TTO],-15187.112111074654,1015.2839659419706,-14.958487103639225,4.259893227384126e-34,-17189.588837026746,-13184.635385122563
C(REF_AREA)[T.TUN],-26183.43589313674,1098.4890139692325,-23.835865047504342,2.0693548391570373e-59,-28350.020570898876,-24016.8512153746
C(REF_AREA)[T.TUR],-22469.979342797313,899.6182061131295,-24.97723944458684,2.2405200127023226e-62,-24244.324826834316,-20695.63385876031
C(REF_AREA)[T.TZA],-26563.53531007283,1840.4044352733663,-14.433531456974125,1.6505938289256737e-32,-30193.423274032422,-22933.64734611324
C(REF_AREA)[T.UGA],-24989.370914348565,2490.5408166452166,-10.033712656839528,2.4772043908210684e-19,-29901.543456873293,-20077.198371823837
C(REF_AREA)[T.UKR],-24562.63247682829,1754.0648670277785,-14.00326347020968,3.322991299077967e-31,-28022.230175462817,-21103.034778193763
C(REF_AREA)[T.URY],-20043.702650380124,1458.8567554921692,-13.73932195530606,2.098000978181193e-30,-22921.052039681934,-17166.353261078315
C(REF_AREA)[T.USA],9471.350261765845,1259.599798146865,7.519332946623352,2.022476323137483e-12,6987.001681058313,11955.698842473377
C(REF_AREA)[T.UZB],-22512.247358403005,1234.9942595778866,-18.228625099923583,7.854126027996373e-44,-24948.065655990995,-20076.429060815015
C(REF_AREA)[T.VCT],-28018.01984309749,1352.5770863280507,-20.714545681947232,6.131087111932381e-51,-30685.750474414108,-25350.28921178087
C(REF_AREA)[T.VNM],-31475.633240040144,763.053231555186,-41.24959038033213,1.1457582942124249e-97,-32980.62729895265,-29970.63918112764
C(REF_AREA)[T.VUT],-27149.13112303951,1572.5196904518527,-17.26473206528714,5.326470596210036e-41,-30250.661519325906,-24047.600726753117
C(REF_AREA)[T.WSM],-27414.42747116367,1375.871887386818,-19.92513090970386,1.0276438807312132e-48,-30128.103176489793,-24700.75176583755
C(REF_AREA)[T.YEM],-27848.942182657625,2314.333625480943,-12.033244419058347,3.022577617400709e-25,-32413.575700546542,-23284.30866476871
C(REF_AREA)[T.ZAF],-18521.927448923583,1804.4671113830798,-10.264486025864434,5.302748432788017e-20,-22080.93509063113,-14962.919807216038
C(REF_AREA)[T.ZMB],-24464.068001028085,2388.490284400202,-10.242481688457653,6.14497049284875e-20,-29174.963046274435,-19753.172955781734
C(REF_AREA)[T.ZWE],-26033.67959227385,1941.2048947253907,-13.41109311181531,2.0746701891728302e-29,-29862.379495345154,-22204.979689202544
C(YEAR)[T.1981],832.2173775729618,470.71241174628807,1.7679953976261908,0.07864164155502334,-96.1836223031595,1760.6183774490833
C(YEAR)[T.1982],916.5973329046465,531.5711050892875,1.7243174509093877,0.08625166565361549,-131.8371955992452,1965.0318614085381
C(YEAR)[T.1983],1138.531373957043,575.6825641194214,1.9777068907733366,0.04938503652272291,3.0944175425729554,2273.968330371513
C(YEAR)[T.1984],1143.793053883491,554.4123207863188,2.0630729350698016,0.04044439651165132,50.30807214672427,2237.2780356202575
C(YEAR)[T.1985],495.2487555792503,368.58997979753667,1.3436305453861936,0.1806454537998893,-231.73293695533346,1222.230448113834
C(YEAR)[T.1986],1428.3610617249315,603.7004416930193,2.3660096350422264,0.01897184449330628,237.66355788356395,2619.058565566299
C(YEAR)[T.1987],1280.8530763278534,587.3009739503773,2.1809142724767154,0.030398903736753313,122.50076218144432,2439.2053904742625
C(YEAR)[T.1988],1579.289929457532,652.7446172936646,2.419460670553522,0.016470949052884515,291.8610445658576,2866.7188143492067
C(YEAR)[T.1989],1675.6551418371341,678.5028218853206,2.469636216369857,0.014393565008911528,337.42253411777983,3013.8877495564884
C(YEAR)[T.1990],991.6357397588359,652.7346285896913,1.519201979373118,0.1303481178834409,-295.7734440955918,2279.0449236132636
C(YEAR)[T.1991],1489.015269413746,719.541697705981,2.069393996429915,0.03984120874756179,69.84038697436768,2908.190151853124
C(YEAR)[T.1992],1637.2126578701327,712.3968938600343,2.2981748965792073,0.02262355102429669,232.1296983734428,3042.2956173668226
C(YEAR)[T.1993],1755.6401822158518,704.3301532453651,2.4926381103042816,0.013521640003654089,366.4675107538799,3144.812853677824
C(YEAR)[T.1994],1783.9313328182839,737.9257851182892,2.4174942369473107,0.01655751322225537,328.4969324450626,3239.365733191505
C(YEAR)[T.1995],1277.7265000601374,666.0878845848516,1.9182551276345432,0.05655458462615712,-36.01973356851795,2591.4727336887927
C(YEAR)[T.1996],2312.1734203749556,768.6994433923398,3.0079030760984113,0.002981050647001324,796.0431590077951,3828.303681742116
C(YEAR)[T.1997],2187.344600290627,843.6678726547351,2.5926607746811543,0.010252808729914636,523.3517312047975,3851.3374693764567
C(YEAR)[T.1998],2692.9116735025323,844.6747388455406,3.188104899624523,0.001670940827252685,1026.932930335292,4358.890416669772
C(YEAR)[T.1999],2756.814133881846,895.992406403605,3.07682756480865,0.0023962168838773876,989.6199294620203,4524.008338301672
C(YEAR)[T.2000],2104.702153064386,969.2873425318267,2.171391351884158,0.03112162667221465,192.9460244436441,4016.458281685128
C(YEAR)[T.2001],2770.825367361025,984.2024517424256,2.815300208260581,0.0053788074856768,829.651696396307,4711.999038325744
C(YEAR)[T.2002],2878.7338221858336,1017.5197400322353,2.8291675423364606,0.0051601472126525365,871.8474081755965,4885.62023619607
C(YEAR)[T.2003],2919.8005233789004,1038.9949335177387,2.8102163246295087,0.0054610595913973685,870.5579050134215,4969.04314174438
C(YEAR)[T.2004],3125.138946376659,1013.7543291643425,3.082737953832239,0.0023513487956649667,1125.679171493542,5124.598721259776
C(YEAR)[T.2005],2361.802215524582,1074.6613924624583,2.1977175620990668,0.029159055911702588,242.213510419062,4481.390920630102
C(YEAR)[T.2006],3883.6424589537055,1240.8411119599853,3.129846699565952,0.0020204963425681788,1436.2922292088174,6330.992688698594
C(YEAR)[T.2007],3827.6367704661297,1203.046677617307,3.1816195012873085,0.0017068765944662876,1454.8297007439846,6200.443840188274
C(YEAR)[T.2008],3953.963350386259,1291.4328490030648,3.061687143422566,0.0025147812088301795,1406.829435137915,6501.097265634604
C(YEAR)[T.2009],2640.36430984876,1170.0725663030394,2.256581673554875,0.02515524499307253,332.5931243528694,4948.135495344651
C(YEAR)[T.2010],2026.8938666439421,1211.7004979841395,1.6727680396401663,0.09599315293233347,-362.98140710432926,4416.769140392214
C(YEAR)[T.2011],2833.4773826135315,1186.8745563659302,2.387343605451704,0.017936100652969262,492.5670999002423,5174.387665326821
C(YEAR)[T.2012],2820.76495652396,1220.358063813156,2.311424032148515,0.021865386596940598,413.8140914558562,5227.715821592064
C(YEAR)[T.2013],2676.047187608071,1212.4192322857389,2.2071962538593164,0.02847919540264004,284.7543314302761,5067.340043785865
C(YEAR)[T.2014],2492.572775088787,1233.8506079241952,2.020157674746572,0.04474942696767184,59.01013788344608,4926.1354122941275
C(YEAR)[T.2015],1647.529924951853,1231.8527527106605,1.3374406326783015,0.1826528552079612,-782.092279132185,4077.152129035891
C(YEAR)[T.2016],2303.329011363734,1328.142870535211,1.7342479205083905,0.08447080370781714,-316.20924217150514,4922.867264898973
C(YEAR)[T.2017],2364.6665835808335,1326.0200147375892,1.7832812154413715,0.07611207057393551,-250.68469422161525,4980.017861383282
C(YEAR)[T.2018],2507.4309738024303,1347.5403479145066,1.8607464909551725,0.06430103853173333,-150.3655387984718,5165.2274864033325
C(YEAR)[T.2019],2502.2087074848323,1389.4243074566107,1.800896021507794,0.07328043952249477,-238.1968652285941,5242.614280198259
C(YEAR)[T.2020],3007.346571733073,1363.5270366961909,2.20556431284255,0.02859525662606892,318.01900645701016,5696.674137009135
C(YEAR)[T.2021],4844.586274041575,1449.1134398053327,3.3431380463163562,0.0009949436634821166,1986.4539348961634,7702.718613186987
WB_GS_SP_DYN_LE60_IN,2031.5035488558353,413.3170985135405,4.915120995869669,1.8902199557258342e-06,1216.3051433107232,2846.701954400947
WB_GS_SE_TER_ENRR,61.48197655781131,26.541613876537692,2.316437005066985,0.021584389351834002,9.13311078244896,113.83084233317365
WB_GS_SP_POP_DPND,117.22278250856795,37.566833023932936,3.12037968262824,0.00208331167709866,43.12852777623846,191.31703724089743
WB_GS_SP_URB_TOTL_IN_ZS,-50.447550935949714,25.61231899336179,-1.9696596371857125,0.05030810032101705,-100.96353897707186,0.06843710517244261
WB_GS_FP_CPI_TOTL_ZG,0.3607741194627144,0.17725176507147786,2.0353767383767947,0.04318013366287617,0.011174848622019229,0.7103733903034096
WB_GS_SL_UEM_ZS,-48.679796258418826,42.58900657668073,-1.1430131898186386,0.25444898431949947,-132.67944297016265,35.31985045332501
